Study File ID;File Name;Creation Date;RT Range [min];Instrument Name;Software Revision;Alignment Score;Sample Type;Polarity;Replicates;Type;Type 2;Max. Mass [Da]
F001;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_01.raw;24.03.2022 16:46;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.637;Blank;POS;Support Samples;Blank;Blank;1050
F002;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_02.raw;24.03.2022 18:19;0.00 - 15.01;Orbitrap Elite;2.7.0 SP2;0.432;Identification Only;POS;Support Samples;QC-IS;QC;410
F003;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_03.raw;24.03.2022 18:35;0.00 - 15.02;Orbitrap Elite;2.7.0 SP2;0.482;Identification Only;POS;Support Samples;QC-IS;QC;320
F004;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_04.raw;24.03.2022 18:52;0.00 - 15.04;Orbitrap Elite;2.7.0 SP2;0.363;Identification Only;POS;Support Samples;QC-IS;QC;420
F005;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_05.raw;24.03.2022 19:08;0.00 - 15.00;Orbitrap Elite;2.7.0 SP2;0.019;Identification Only;POS;Support Samples;QC-IS;QC;1000
F006;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_06.raw;24.03.2022 19:24;0.00 - 15.01;Orbitrap Elite;2.7.0 SP2;0.02;Identification Only;POS;Support Samples;QC-IS;QC;1000
F007;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_07.raw;24.03.2022 19:41;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.964;Quality Control;POS;Support Samples;QC-IS;QC;1050
F008;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_08.raw;24.03.2022 19:56;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.98;Quality Control;POS;Support Samples;QC-IS;QC;1050
F009;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_09.raw;24.03.2022 20:12;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.961;Sample;POS;2;Type 1;Class 0;1050
F010;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_10.raw;24.03.2022 20:27;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.925;Sample;POS;2;Type 1;Class 2;1050
F011;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_11.raw;24.03.2022 20:43;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.77;Sample;POS;2;Type 0;Class 1;1050
F012;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_12.raw;24.03.2022 20:58;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.959;Sample;POS;1;Type 1;Class 2;1050
F013;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_13.raw;24.03.2022 21:14;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.867;Sample;POS;1;Type 0;Class 3;1050
F014;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_14.raw;24.03.2022 21:29;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.951;Sample;POS;3;Type 1;Class 3;1050
F015;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_15.raw;24.03.2022 21:45;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.986;Quality Control;POS;Support Samples;QC-IS;QC;1050
F016;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_16.raw;24.03.2022 22:00;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.966;Sample;POS;1;Type 1;Class 0;1050
F017;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_17.raw;24.03.2022 22:15;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.945;Sample;POS;2;Type 1;Class 4;1050
F018;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_18.raw;24.03.2022 22:31;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.845;Sample;POS;1;Type 0;Class 5;1050
F019;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_19.raw;24.03.2022 22:46;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.962;Sample;POS;2;Type 1;Class 7;1050
F020;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_20.raw;24.03.2022 23:02;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.938;Sample;POS;2;Type 1;Class 1;1050
F021;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_21.raw;24.03.2022 23:17;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.846;Sample;POS;1;Type 0;Class 7;1050
F022;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_22.raw;24.03.2022 23:33;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.989;Quality Control;POS;Support Samples;QC-IS;QC;1050
