feature;method;specification;score;hits;Name
M351.13367-T2.051;PCA-loadings;"Analysis-1; PCA-components-2";100.0;1;Speradine H
M219.11267-T4.26;PCA-loadings;"Analysis-1; PCA-components-2";99.9;1;Primidone
M150.05804-T5.476;PCA-loadings;"Analysis-1; PCA-components-2";97.1;1;L-Methionine
M150.058-T5.471;PCA-loadings;"Analysis-1; PCA-components-2";96.77;1;THTC
M327.17005-T2.057;PCA-loadings;"Analysis-1; PCA-components-2";96.75;1;Dimoxystrobin
M288.20246-T7.11;PCA-loadings;"Analysis-1; PCA-components-2";95.59;1;Leu-arg
M274.18688-T7.628;PCA-loadings;"Analysis-1; PCA-components-2";95.5;1;val-arg
M327.17005-T2.048;PCA-loadings;"Analysis-1; PCA-components-2";95.3;1;
M265.11138-T5.247;PCA-loadings;"Analysis-1; PCA-components-2";94.7;1;Thiamine
M186.09121-T2.973;PCA-loadings;"Analysis-1; PCA-components-2";93.51;1;Naphthaleneacetamide
M247.14396-T3.372;PCA-loadings;"Analysis-1; PCA-components-2";92.94;1;Bohemamine F
M342.13916-T6.47;PCA-loadings;"Analysis-1; PCA-components-2";92.87;1;6-(alpha-D-Glucosaminyl)-1D-myo-inositol
M203.1499-T7.514;PCA-loadings;"Analysis-1; PCA-components-2";92.65;1;Symmetricdimethylarginine
M288.20269-T6.937;PCA-loadings;"Analysis-1; PCA-components-2";92.05;1;Leu-arg
